Symbol,Contract,Type,Entry Time,Exit Time,Duration,Bars in Trade,Strike Pair,Lot Size,Net Credit (₹),Capital Employed (₹),Exit Reason,PnL (₹),PnL (%)
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-01 11:30:00,2026-07-02 14:21:00,1 days 02:51:00,182,24000.0 / 23900.0,65,40.75,6500.0,Target Hit (50% Premium Decay),1404.0,21.6
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-01 11:45:00,2026-07-02 14:21:00,1 days 02:36:00,177,24000.0 / 23900.0,65,39.75,6500.0,Target Hit (50% Premium Decay),1339.0,20.6
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-01 12:00:00,2026-07-02 14:39:00,1 days 02:39:00,178,24050.0 / 23950.0,65,43.7,6500.0,Target Hit (50% Premium Decay),1498.25,23.05
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-01 12:33:00,2026-07-02 14:39:00,1 days 02:06:00,167,24050.0 / 23950.0,65,41.75,6500.0,Target Hit (50% Premium Decay),1371.5,21.1
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-01 13:06:00,2026-07-02 14:21:00,1 days 01:15:00,150,24000.0 / 23900.0,65,40.1,6500.0,Target Hit (50% Premium Decay),1361.75,20.95
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-01 13:15:00,2026-07-02 14:39:00,1 days 01:24:00,153,24050.0 / 23950.0,65,43.15,6500.0,Target Hit (50% Premium Decay),1462.5,22.5
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-01 13:36:00,2026-07-02 14:39:00,1 days 01:03:00,146,24050.0 / 23950.0,65,41.65,6500.0,Target Hit (50% Premium Decay),1365.0,21.0
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-01 14:09:00,2026-07-03 09:15:00,1 days 19:06:00,152,24050.0 / 23950.0,65,41.1,6500.0,Target Hit (50% Premium Decay),1969.5,30.3
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-01 14:12:00,2026-07-03 09:15:00,1 days 19:03:00,151,24050.0 / 23950.0,65,41.0,6500.0,Target Hit (50% Premium Decay),1963.0,30.2
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-01 14:57:00,2026-07-02 14:39:00,0 days 23:42:00,119,24050.0 / 23950.0,65,42.9,6500.0,Target Hit (50% Premium Decay),1446.25,22.25
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-01 15:00:00,2026-07-02 14:39:00,0 days 23:39:00,118,24050.0 / 23950.0,65,44.65,6500.0,Target Hit (50% Premium Decay),1560.0,24.0
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-02 10:21:00,2026-07-03 09:15:00,0 days 22:54:00,103,24100.0 / 24000.0,65,40.15,6500.0,Target Hit (50% Premium Decay),1686.75,25.95
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-02 10:39:00,2026-07-03 09:15:00,0 days 22:36:00,97,24100.0 / 24000.0,65,39.0,6500.0,Target Hit (50% Premium Decay),1612.0,24.8
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-02 11:00:00,2026-07-03 09:15:00,0 days 22:15:00,90,24100.0 / 24000.0,65,39.9,6500.0,Target Hit (50% Premium Decay),1670.5,25.7
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-02 11:15:00,2026-07-03 09:15:00,0 days 22:00:00,85,24100.0 / 24000.0,65,40.15,6500.0,Target Hit (50% Premium Decay),1686.75,25.95
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-02 13:03:00,2026-07-03 09:15:00,0 days 20:12:00,49,24150.0 / 24050.0,65,40.65,6500.0,Target Hit (50% Premium Decay),1430.0,22.0
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-02 13:36:00,2026-07-03 09:15:00,0 days 19:39:00,38,24150.0 / 24050.0,65,40.7,6500.0,Target Hit (50% Premium Decay),1433.25,22.05
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-02 13:42:00,2026-07-03 09:15:00,0 days 19:33:00,36,24150.0 / 24050.0,65,40.75,6500.0,Target Hit (50% Premium Decay),1436.5,22.1
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-02 14:03:00,2026-07-03 09:15:00,0 days 19:12:00,29,24150.0 / 24050.0,65,38.35,6500.0,Target Hit (50% Premium Decay),1280.5,19.7
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-02 14:24:00,2026-07-03 09:18:00,0 days 18:54:00,23,24150.0 / 24050.0,65,37.25,6500.0,Target Hit (50% Premium Decay),1261.0,19.4
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-02 14:33:00,2026-07-03 09:15:00,0 days 18:42:00,19,24150.0 / 24050.0,65,37.5,6500.0,Target Hit (50% Premium Decay),1225.25,18.85
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-02 15:00:00,2026-07-03 09:24:00,0 days 18:24:00,13,24200.0 / 24100.0,65,40.2,6500.0,Target Hit (50% Premium Decay),1387.75,21.35
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-03 10:09:00,2026-07-06 12:30:00,3 days 02:21:00,172,24350.0 / 24250.0,65,39.8,6500.0,Target Hit (50% Premium Decay),1355.25,20.85
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-03 10:24:00,2026-07-06 12:30:00,3 days 02:06:00,167,24350.0 / 24250.0,65,38.7,6500.0,Target Hit (50% Premium Decay),1283.75,19.75
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-03 11:54:00,2026-07-06 13:36:00,3 days 01:42:00,159,24350.0 / 24250.0,65,37.15,6500.0,Target Hit (50% Premium Decay),1235.0,19.0
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-06 09:18:00,2026-07-06 12:12:00,0 days 02:54:00,58,24350.0 / 24250.0,65,40.9,6500.0,Target Hit (50% Premium Decay),1352.0,20.8
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-06 10:18:00,2026-07-07 09:15:00,0 days 22:57:00,104,24400.0 / 24300.0,65,38.9,6500.0,Target Hit (50% Premium Decay),1550.25,23.85
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-06 10:21:00,2026-07-07 09:15:00,0 days 22:54:00,103,24400.0 / 24300.0,65,37.25,6500.0,Target Hit (50% Premium Decay),1443.0,22.2
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-06 10:42:00,2026-07-07 09:15:00,0 days 22:33:00,96,24400.0 / 24300.0,65,36.2,6500.0,Target Hit (50% Premium Decay),1374.75,21.15
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-06 10:48:00,2026-07-07 09:15:00,0 days 22:27:00,94,24400.0 / 24300.0,65,32.45,6500.0,Target Hit (50% Premium Decay),1131.0,17.4
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-06 11:24:00,2026-07-07 09:15:00,0 days 21:51:00,82,24400.0 / 24300.0,65,33.8,6500.0,Target Hit (50% Premium Decay),1218.75,18.75
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-06 11:48:00,2026-07-07 09:15:00,0 days 21:27:00,74,24400.0 / 24300.0,65,34.45,6500.0,Target Hit (50% Premium Decay),1261.0,19.4
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-06 11:57:00,2026-07-07 09:15:00,0 days 21:18:00,71,24400.0 / 24300.0,65,32.4,6500.0,Target Hit (50% Premium Decay),1127.75,17.35
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-06 12:00:00,2026-07-07 09:15:00,0 days 21:15:00,70,24400.0 / 24300.0,65,30.95,6500.0,Target Hit (50% Premium Decay),1033.5,15.9
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-06 12:03:00,2026-07-07 10:00:00,0 days 21:57:00,84,24450.0 / 24350.0,65,42.95,6500.0,Target Hit (50% Premium Decay),1540.5,23.7
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-06 12:15:00,2026-07-07 10:00:00,0 days 21:45:00,80,24450.0 / 24350.0,65,39.7,6500.0,Target Hit (50% Premium Decay),1329.25,20.45
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-06 12:33:00,2026-07-07 10:09:00,0 days 21:36:00,77,24450.0 / 24350.0,65,37.15,6500.0,Target Hit (50% Premium Decay),1257.75,19.35
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-06 12:45:00,2026-07-07 10:00:00,0 days 21:15:00,70,24450.0 / 24350.0,65,40.75,6500.0,Target Hit (50% Premium Decay),1397.5,21.5
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-06 12:51:00,2026-07-07 10:00:00,0 days 21:09:00,68,24450.0 / 24350.0,65,41.7,6500.0,Target Hit (50% Premium Decay),1459.25,22.45
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-06 12:57:00,2026-07-07 10:00:00,0 days 21:03:00,66,24450.0 / 24350.0,65,40.25,6500.0,Target Hit (50% Premium Decay),1365.0,21.0
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-06 13:06:00,2026-07-07 10:00:00,0 days 20:54:00,63,24450.0 / 24350.0,65,39.2,6500.0,Target Hit (50% Premium Decay),1296.75,19.95
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-07 09:18:00,2026-07-07 11:03:00,0 days 01:45:00,35,24450.0 / 24350.0,65,26.95,6500.0,Target Hit (50% Premium Decay),887.25,13.65
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-07 09:30:00,2026-07-07 10:00:00,0 days 00:30:00,10,24450.0 / 24350.0,65,38.95,6500.0,Target Hit (50% Premium Decay),1280.5,19.7
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-07 09:36:00,2026-07-07 10:09:00,0 days 00:33:00,11,24450.0 / 24350.0,65,35.7,6500.0,Target Hit (50% Premium Decay),1163.5,17.9
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-07 10:09:00,2026-07-07 15:00:00,0 days 04:51:00,97,24500.0 / 24400.0,65,35.6,6500.0,SL Hit (100% Premium Appreciation),-2775.5,-42.7
