Symbol,Contract,Type,Entry Time,Exit Time,Duration,Bars in Trade,Strike Pair,Lot Size,Net Credit (₹),Capital Employed (₹),Exit Reason,PnL (₹),PnL (%)
SENSEX,SENSEX SPOT,CE_SPREAD,2026-08-12 09:33:00,2026-08-12 10:57:00,0 days 01:24:00,28,78100.0 / 78300.0,20,93.85,4000.0,Target Hit (50% Premium Decay),1028.0,25.7
SENSEX,SENSEX SPOT,CE_SPREAD,2026-08-12 10:30:00,2026-08-13 15:39:00,1 days 05:09:00,225,77800.0 / 78000.0,20,106.7,4000.0,Contract Expired (Failsafe Exit),-1862.0,-46.55
SENSEX,SENSEX SPOT,CE_SPREAD,2026-08-12 10:42:00,2026-08-13 15:39:00,1 days 04:57:00,221,77800.0 / 78000.0,20,101.25,4000.0,Contract Expired (Failsafe Exit),-1971.0,-49.27
SENSEX,SENSEX SPOT,CE_SPREAD,2026-08-13 11:03:00,2026-08-13 15:24:00,0 days 04:21:00,87,77700.0 / 77900.0,20,85.2,4000.0,SL Hit (100% Premium Appreciation),-2193.0,-54.83
SENSEX,SENSEX SPOT,CE_SPREAD,2026-08-13 11:15:00,2026-08-13 13:54:00,0 days 02:39:00,53,77700.0 / 77900.0,20,81.4,4000.0,SL Hit (100% Premium Appreciation),-1685.0,-42.12
SENSEX,SENSEX SPOT,PE_SPREAD,2026-08-13 13:39:00,2026-08-13 15:24:00,0 days 01:45:00,35,77900.0 / 77700.0,20,54.8,4000.0,Target Hit (50% Premium Decay),1025.0,25.63
