Symbol,Type,Entry Time,Exit Time,Duration,Bars in Trade,Strike Pair,Lot Size,Net Credit (₹),Capital Employed (₹),Exit Reason,PnL (₹),PnL (%)
NIFTY,PE_SPREAD,2026-07-17 10:00:00,2026-07-21 12:57:00,4 days 02:57:00,309,24250.0 / 24150.0,1,48.85,100.0,SL Hit (50% Premium Appreciation),-26.8,-26.8
NIFTY,PE_SPREAD,2026-07-17 10:06:00,2026-07-21 09:18:00,3 days 23:12:00,234,24200.0 / 24100.0,1,41.45,100.0,Target Hit (50% Premium Decay),21.8,21.8
NIFTY,PE_SPREAD,2026-07-17 10:09:00,2026-07-21 12:57:00,4 days 02:48:00,306,24250.0 / 24150.0,1,47.1,100.0,SL Hit (50% Premium Appreciation),-28.55,-28.55
NIFTY,PE_SPREAD,2026-07-17 10:42:00,2026-07-20 12:45:00,3 days 02:03:00,166,24250.0 / 24150.0,1,43.3,100.0,SL Hit (50% Premium Appreciation),-22.55,-22.55
NIFTY,PE_SPREAD,2026-07-17 10:54:00,2026-07-20 12:45:00,3 days 01:51:00,162,24250.0 / 24150.0,1,43.6,100.0,SL Hit (50% Premium Appreciation),-22.25,-22.25
NIFTY,PE_SPREAD,2026-07-17 11:06:00,2026-07-21 12:51:00,4 days 01:45:00,285,24250.0 / 24150.0,1,45.7,100.0,SL Hit (50% Premium Appreciation),-23.8,-23.8
NIFTY,PE_SPREAD,2026-07-17 11:12:00,2026-07-21 12:51:00,4 days 01:39:00,283,24250.0 / 24150.0,1,46.1,100.0,SL Hit (50% Premium Appreciation),-23.4,-23.4
NIFTY,PE_SPREAD,2026-07-17 11:18:00,2026-07-21 12:57:00,4 days 01:39:00,283,24250.0 / 24150.0,1,47.05,100.0,SL Hit (50% Premium Appreciation),-28.6,-28.6
NIFTY,PE_SPREAD,2026-07-17 11:21:00,2026-07-21 12:57:00,4 days 01:36:00,282,24250.0 / 24150.0,1,46.6,100.0,SL Hit (50% Premium Appreciation),-29.05,-29.05
NIFTY,PE_SPREAD,2026-07-17 11:27:00,2026-07-21 12:51:00,4 days 01:24:00,278,24250.0 / 24150.0,1,46.2,100.0,SL Hit (50% Premium Appreciation),-23.3,-23.3
NIFTY,PE_SPREAD,2026-07-17 11:30:00,2026-07-21 12:51:00,4 days 01:21:00,277,24250.0 / 24150.0,1,45.85,100.0,SL Hit (50% Premium Appreciation),-23.65,-23.65
NIFTY,PE_SPREAD,2026-07-17 11:36:00,2026-07-21 12:51:00,4 days 01:15:00,275,24250.0 / 24150.0,1,45.05,100.0,SL Hit (50% Premium Appreciation),-24.45,-24.45
NIFTY,PE_SPREAD,2026-07-17 11:42:00,2026-07-20 12:45:00,3 days 01:03:00,146,24250.0 / 24150.0,1,43.0,100.0,SL Hit (50% Premium Appreciation),-22.85,-22.85
NIFTY,PE_SPREAD,2026-07-17 12:06:00,2026-07-20 12:45:00,3 days 00:39:00,138,24250.0 / 24150.0,1,43.05,100.0,SL Hit (50% Premium Appreciation),-22.8,-22.8
NIFTY,PE_SPREAD,2026-07-17 12:12:00,2026-07-20 12:45:00,3 days 00:33:00,136,24250.0 / 24150.0,1,42.35,100.0,SL Hit (50% Premium Appreciation),-23.5,-23.5
NIFTY,PE_SPREAD,2026-07-17 12:15:00,2026-07-21 10:36:00,3 days 22:21:00,217,24300.0 / 24200.0,1,49.65,100.0,SL Hit (50% Premium Appreciation),-27.95,-27.95
NIFTY,PE_SPREAD,2026-07-17 12:21:00,2026-07-20 12:45:00,3 days 00:24:00,133,24300.0 / 24200.0,1,47.95,100.0,SL Hit (50% Premium Appreciation),-26.45,-26.45
NIFTY,PE_SPREAD,2026-07-17 12:36:00,2026-07-20 12:45:00,3 days 00:09:00,128,24300.0 / 24200.0,1,48.55,100.0,SL Hit (50% Premium Appreciation),-25.85,-25.85
NIFTY,PE_SPREAD,2026-07-17 12:45:00,2026-07-20 12:45:00,3 days 00:00:00,125,24300.0 / 24200.0,1,47.7,100.0,SL Hit (50% Premium Appreciation),-26.7,-26.7
NIFTY,PE_SPREAD,2026-07-17 12:48:00,2026-07-20 12:45:00,2 days 23:57:00,124,24300.0 / 24200.0,1,47.85,100.0,SL Hit (50% Premium Appreciation),-26.55,-26.55
NIFTY,PE_SPREAD,2026-07-17 12:57:00,2026-07-20 12:45:00,2 days 23:48:00,121,24300.0 / 24200.0,1,48.2,100.0,SL Hit (50% Premium Appreciation),-26.2,-26.2
NIFTY,PE_SPREAD,2026-07-17 13:00:00,2026-07-20 12:45:00,2 days 23:45:00,120,24300.0 / 24200.0,1,48.7,100.0,SL Hit (50% Premium Appreciation),-25.7,-25.7
NIFTY,PE_SPREAD,2026-07-17 13:06:00,2026-07-20 12:45:00,2 days 23:39:00,118,24300.0 / 24200.0,1,48.8,100.0,SL Hit (50% Premium Appreciation),-25.6,-25.6
NIFTY,PE_SPREAD,2026-07-17 13:15:00,2026-07-20 12:45:00,2 days 23:30:00,115,24300.0 / 24200.0,1,49.3,100.0,SL Hit (50% Premium Appreciation),-25.1,-25.1
NIFTY,PE_SPREAD,2026-07-17 13:21:00,2026-07-21 10:36:00,3 days 21:15:00,195,24300.0 / 24200.0,1,49.65,100.0,SL Hit (50% Premium Appreciation),-27.95,-27.95
NIFTY,PE_SPREAD,2026-07-17 13:30:00,2026-07-21 12:51:00,3 days 23:21:00,237,24250.0 / 24150.0,1,44.5,100.0,SL Hit (50% Premium Appreciation),-25.0,-25.0
NIFTY,PE_SPREAD,2026-07-17 13:36:00,2026-07-21 12:51:00,3 days 23:15:00,235,24250.0 / 24150.0,1,44.85,100.0,SL Hit (50% Premium Appreciation),-24.65,-24.65
NIFTY,PE_SPREAD,2026-07-17 13:54:00,2026-07-21 12:57:00,3 days 23:03:00,231,24250.0 / 24150.0,1,48.65,100.0,SL Hit (50% Premium Appreciation),-27.0,-27.0
NIFTY,PE_SPREAD,2026-07-17 13:57:00,2026-07-21 12:51:00,3 days 22:54:00,228,24250.0 / 24150.0,1,45.1,100.0,SL Hit (50% Premium Appreciation),-24.4,-24.4
NIFTY,PE_SPREAD,2026-07-17 14:00:00,2026-07-21 12:57:00,3 days 22:57:00,229,24250.0 / 24150.0,1,46.6,100.0,SL Hit (50% Premium Appreciation),-29.05,-29.05
NIFTY,PE_SPREAD,2026-07-17 14:06:00,2026-07-21 12:57:00,3 days 22:51:00,227,24250.0 / 24150.0,1,46.7,100.0,SL Hit (50% Premium Appreciation),-28.95,-28.95
NIFTY,PE_SPREAD,2026-07-17 14:12:00,2026-07-20 12:42:00,2 days 22:30:00,95,24250.0 / 24150.0,1,40.75,100.0,SL Hit (50% Premium Appreciation),-20.6,-20.6
NIFTY,PE_SPREAD,2026-07-17 14:33:00,2026-07-20 09:36:00,2 days 19:03:00,26,24300.0 / 24200.0,1,44.0,100.0,SL Hit (50% Premium Appreciation),-22.75,-22.75
NIFTY,PE_SPREAD,2026-07-17 14:39:00,2026-07-20 09:27:00,2 days 18:48:00,21,24300.0 / 24200.0,1,41.85,100.0,SL Hit (50% Premium Appreciation),-21.05,-21.05
NIFTY,PE_SPREAD,2026-07-17 14:42:00,2026-07-20 09:27:00,2 days 18:45:00,20,24300.0 / 24200.0,1,40.95,100.0,SL Hit (50% Premium Appreciation),-21.95,-21.95
NIFTY,PE_SPREAD,2026-07-17 15:03:00,2026-07-20 09:18:00,2 days 18:15:00,10,24300.0 / 24200.0,1,40.3,100.0,SL Hit (50% Premium Appreciation),-20.8,-20.8
NIFTY,PE_SPREAD,2026-07-17 15:06:00,2026-07-20 09:27:00,2 days 18:21:00,12,24350.0 / 24250.0,1,46.7,100.0,SL Hit (50% Premium Appreciation),-23.85,-23.85
NIFTY,PE_SPREAD,2026-07-17 15:21:00,2026-07-20 09:18:00,2 days 17:57:00,4,24350.0 / 24250.0,1,44.95,100.0,SL Hit (50% Premium Appreciation),-24.0,-24.0
NIFTY,PE_SPREAD,2026-07-17 15:24:00,2026-07-20 09:18:00,2 days 17:54:00,3,24350.0 / 24250.0,1,44.0,100.0,SL Hit (50% Premium Appreciation),-24.95,-24.95
NIFTY,PE_SPREAD,2026-07-20 09:18:00,2026-07-21 13:03:00,1 days 03:45:00,200,24250.0 / 24150.0,1,52.1,100.0,SL Hit (50% Premium Appreciation),-26.15,-26.15
NIFTY,PE_SPREAD,2026-07-20 09:27:00,2026-07-21 09:18:00,0 days 23:51:00,122,24200.0 / 24100.0,1,45.25,100.0,Target Hit (50% Premium Decay),25.6,25.6
