Symbol,Type,Entry Time,Exit Time,Duration,Bars in Trade,Strike Pair,Lot Size,Net Credit (₹),Capital Employed (₹),Exit Reason,PnL (₹),PnL (%)
NIFTY,CE_SPREAD,2026-07-20 11:03:00,2026-07-20 12:45:00,0 days 01:42:00,34,24400.0 / 24500.0,1,10.35,100.0,Target Hit (50% Premium Decay),5.45,5.45
NIFTY,CE_SPREAD,2026-07-20 11:36:00,2026-07-20 13:27:00,0 days 01:51:00,37,24400.0 / 24500.0,1,9.7,100.0,SL Hit (50% Premium Appreciation),-4.85,-4.85
NIFTY,CE_SPREAD,2026-07-20 11:42:00,2026-07-20 13:21:00,0 days 01:39:00,33,24400.0 / 24500.0,1,8.45,100.0,SL Hit (50% Premium Appreciation),-5.35,-5.35
NIFTY,CE_SPREAD,2026-07-20 11:48:00,2026-07-20 13:21:00,0 days 01:33:00,31,24350.0 / 24450.0,1,12.5,100.0,SL Hit (50% Premium Appreciation),-7.55,-7.55
NIFTY,PE_SPREAD,2026-07-20 13:57:00,2026-07-21 10:21:00,0 days 20:24:00,53,24250.0 / 24150.0,1,34.7,100.0,SL Hit (50% Premium Appreciation),-19.0,-19.0
NIFTY,PE_SPREAD,2026-07-20 14:24:00,2026-07-21 10:21:00,0 days 19:57:00,44,24250.0 / 24150.0,1,35.45,100.0,SL Hit (50% Premium Appreciation),-18.25,-18.25
NIFTY,PE_SPREAD,2026-07-20 14:30:00,2026-07-21 10:24:00,0 days 19:54:00,43,24250.0 / 24150.0,1,37.0,100.0,SL Hit (50% Premium Appreciation),-18.75,-18.75
NIFTY,PE_SPREAD,2026-07-20 14:36:00,2026-07-21 10:36:00,0 days 20:00:00,45,24250.0 / 24150.0,1,38.95,100.0,SL Hit (50% Premium Appreciation),-22.15,-22.15
NIFTY,PE_SPREAD,2026-07-20 14:39:00,2026-07-21 10:36:00,0 days 19:57:00,44,24250.0 / 24150.0,1,38.85,100.0,SL Hit (50% Premium Appreciation),-22.25,-22.25
NIFTY,PE_SPREAD,2026-07-20 14:48:00,2026-07-21 10:36:00,0 days 19:48:00,41,24250.0 / 24150.0,1,39.05,100.0,SL Hit (50% Premium Appreciation),-22.05,-22.05
NIFTY,PE_SPREAD,2026-07-20 14:54:00,2026-07-21 10:36:00,0 days 19:42:00,39,24250.0 / 24150.0,1,38.5,100.0,SL Hit (50% Premium Appreciation),-22.6,-22.6
NIFTY,PE_SPREAD,2026-07-20 15:09:00,2026-07-21 10:36:00,0 days 19:27:00,34,24250.0 / 24150.0,1,38.05,100.0,SL Hit (50% Premium Appreciation),-23.05,-23.05
NIFTY,PE_SPREAD,2026-07-20 15:24:00,2026-07-21 10:21:00,0 days 18:57:00,24,24250.0 / 24150.0,1,35.15,100.0,SL Hit (50% Premium Appreciation),-18.55,-18.55
NIFTY,PE_SPREAD,2026-07-20 15:27:00,2026-07-21 10:21:00,0 days 18:54:00,23,24250.0 / 24150.0,1,34.15,100.0,SL Hit (50% Premium Appreciation),-19.55,-19.55
NIFTY,PE_SPREAD,2026-07-21 09:15:00,2026-07-21 10:36:00,0 days 01:21:00,27,24250.0 / 24150.0,1,37.35,100.0,SL Hit (50% Premium Appreciation),-23.75,-23.75
NIFTY,PE_SPREAD,2026-07-21 09:18:00,2026-07-21 10:21:00,0 days 01:03:00,21,24250.0 / 24150.0,1,32.55,100.0,SL Hit (50% Premium Appreciation),-21.15,-21.15
NIFTY,PE_SPREAD,2026-07-21 09:39:00,2026-07-21 10:21:00,0 days 00:42:00,14,24200.0 / 24100.0,1,23.0,100.0,SL Hit (50% Premium Appreciation),-11.7,-11.7
NIFTY,CE_SPREAD,2026-07-21 10:18:00,2026-07-21 11:21:00,0 days 01:03:00,21,24400.0 / 24500.0,1,1.5,100.0,Target Hit (50% Premium Decay),0.85,0.85
NIFTY,CE_SPREAD,2026-07-21 10:24:00,2026-07-21 11:36:00,0 days 01:12:00,24,24400.0 / 24500.0,1,1.2,100.0,Target Hit (50% Premium Decay),0.6,0.6
