Symbol,Type,Entry Time,Exit Time,Duration,Bars in Trade,Strike Pair,Lot Size,Net Credit (₹),Capital Employed (₹),Exit Reason,PnL (₹),PnL (%)
NIFTY,PE_SPREAD,2026-07-20 13:57:00,2026-07-21 12:51:00,0 days 22:54:00,103,24250.0 / 24150.0,65,34.7,6500.0,SL Hit (100% Premium Appreciation),-2262.0,-34.8
NIFTY,PE_SPREAD,2026-07-20 14:24:00,2026-07-21 12:57:00,0 days 22:33:00,96,24250.0 / 24150.0,65,35.45,6500.0,SL Hit (100% Premium Appreciation),-2613.0,-40.2
NIFTY,PE_SPREAD,2026-07-20 14:30:00,2026-07-21 12:57:00,0 days 22:27:00,94,24250.0 / 24150.0,65,37.0,6500.0,SL Hit (100% Premium Appreciation),-2512.25,-38.65
NIFTY,PE_SPREAD,2026-07-20 14:36:00,2026-07-21 13:03:00,0 days 22:27:00,94,24250.0 / 24150.0,65,38.95,6500.0,SL Hit (100% Premium Appreciation),-2554.5,-39.3
NIFTY,PE_SPREAD,2026-07-20 14:39:00,2026-07-21 13:00:00,0 days 22:21:00,92,24250.0 / 24150.0,65,38.85,6500.0,SL Hit (100% Premium Appreciation),-2531.75,-38.95
NIFTY,PE_SPREAD,2026-07-20 14:48:00,2026-07-21 13:03:00,0 days 22:15:00,90,24250.0 / 24150.0,65,39.05,6500.0,SL Hit (100% Premium Appreciation),-2548.0,-39.2
NIFTY,PE_SPREAD,2026-07-20 14:54:00,2026-07-21 13:00:00,0 days 22:06:00,87,24250.0 / 24150.0,65,38.5,6500.0,SL Hit (100% Premium Appreciation),-2554.5,-39.3
NIFTY,PE_SPREAD,2026-07-20 15:09:00,2026-07-21 13:00:00,0 days 21:51:00,82,24250.0 / 24150.0,65,38.05,6500.0,SL Hit (100% Premium Appreciation),-2583.75,-39.75
NIFTY,PE_SPREAD,2026-07-20 15:24:00,2026-07-21 12:57:00,0 days 21:33:00,76,24250.0 / 24150.0,65,35.15,6500.0,SL Hit (100% Premium Appreciation),-2632.5,-40.5
NIFTY,PE_SPREAD,2026-07-20 15:27:00,2026-07-21 12:51:00,0 days 21:24:00,73,24250.0 / 24150.0,65,34.15,6500.0,SL Hit (100% Premium Appreciation),-2297.75,-35.35
NIFTY,PE_SPREAD,2026-07-21 09:15:00,2026-07-21 12:57:00,0 days 03:42:00,74,24250.0 / 24150.0,65,37.35,6500.0,SL Hit (100% Premium Appreciation),-2489.5,-38.3
NIFTY,PE_SPREAD,2026-07-21 09:18:00,2026-07-21 11:42:00,0 days 02:24:00,48,24250.0 / 24150.0,65,32.55,6500.0,SL Hit (100% Premium Appreciation),-2193.75,-33.75
NIFTY,PE_SPREAD,2026-07-21 09:39:00,2026-07-21 12:57:00,0 days 03:18:00,66,24200.0 / 24100.0,65,23.0,6500.0,SL Hit (100% Premium Appreciation),-1706.25,-26.25
NIFTY,CE_SPREAD,2026-07-22 09:18:00,2026-07-23 09:15:00,0 days 23:57:00,124,24250.0 / 24350.0,65,29.65,6500.0,Target Hit (50% Premium Decay),1144.0,17.6
NIFTY,CE_SPREAD,2026-07-22 10:18:00,2026-07-23 12:30:00,1 days 02:12:00,169,24200.0 / 24300.0,65,27.15,6500.0,Target Hit (50% Premium Decay),965.25,14.85
NIFTY,CE_SPREAD,2026-07-22 10:39:00,2026-07-23 12:30:00,1 days 01:51:00,162,24200.0 / 24300.0,65,25.3,6500.0,Target Hit (50% Premium Decay),845.0,13.0
NIFTY,CE_SPREAD,2026-07-22 11:03:00,2026-07-23 12:30:00,1 days 01:27:00,154,24200.0 / 24300.0,65,26.3,6500.0,Target Hit (50% Premium Decay),910.0,14.0
NIFTY,CE_SPREAD,2026-07-22 11:36:00,2026-07-23 12:21:00,1 days 00:45:00,140,24250.0 / 24350.0,65,23.25,6500.0,Target Hit (50% Premium Decay),776.75,11.95
NIFTY,CE_SPREAD,2026-07-22 11:51:00,2026-07-23 12:30:00,1 days 00:39:00,138,24200.0 / 24300.0,65,27.3,6500.0,Target Hit (50% Premium Decay),975.0,15.0
NIFTY,CE_SPREAD,2026-07-22 12:39:00,2026-07-23 12:42:00,1 days 00:03:00,126,24150.0 / 24250.0,65,26.7,6500.0,Target Hit (50% Premium Decay),890.5,13.7
NIFTY,CE_SPREAD,2026-07-22 12:54:00,2026-07-23 12:30:00,0 days 23:36:00,117,24200.0 / 24300.0,65,25.6,6500.0,Target Hit (50% Premium Decay),864.5,13.3
NIFTY,CE_SPREAD,2026-07-22 13:00:00,2026-07-23 12:39:00,0 days 23:39:00,118,24200.0 / 24300.0,65,23.55,6500.0,Target Hit (50% Premium Decay),776.75,11.95
NIFTY,CE_SPREAD,2026-07-22 13:03:00,2026-07-23 12:42:00,0 days 23:39:00,118,24150.0 / 24250.0,65,27.4,6500.0,Target Hit (50% Premium Decay),936.0,14.4
NIFTY,CE_SPREAD,2026-07-22 13:12:00,2026-07-23 12:42:00,0 days 23:30:00,115,24150.0 / 24250.0,65,27.35,6500.0,Target Hit (50% Premium Decay),932.75,14.35
NIFTY,CE_SPREAD,2026-07-22 13:48:00,2026-07-23 12:39:00,0 days 22:51:00,102,24150.0 / 24250.0,65,27.95,6500.0,Target Hit (50% Premium Decay),910.0,14.0
NIFTY,CE_SPREAD,2026-07-22 13:51:00,2026-07-23 12:42:00,0 days 22:51:00,102,24150.0 / 24250.0,65,27.85,6500.0,Target Hit (50% Premium Decay),965.25,14.85
NIFTY,CE_SPREAD,2026-07-22 14:12:00,2026-07-23 12:42:00,0 days 22:30:00,95,24150.0 / 24250.0,65,26.6,6500.0,Target Hit (50% Premium Decay),884.0,13.6
