Symbol,Type,Entry Time,Exit Time,Lot Size,Net Credit (₹),Exit Reason,PnL (₹)
NIFTY,PE_SPREAD,2026-07-17 10:00:00,2026-07-20 13:57:00,1,36.65,Target Hit (50% Premium Decay),18.95
NIFTY,PE_SPREAD,2026-07-17 10:06:00,2026-07-20 13:45:00,1,29.4,Target Hit (50% Premium Decay),16.0
NIFTY,PE_SPREAD,2026-07-17 10:09:00,2026-07-20 14:00:00,1,35.1,Target Hit (50% Premium Decay),17.55
NIFTY,PE_SPREAD,2026-07-17 10:39:00,2026-07-21 09:15:00,1,30.45,Target Hit (50% Premium Decay),17.05
NIFTY,PE_SPREAD,2026-07-17 10:42:00,2026-07-20 15:27:00,1,32.0,Target Hit (50% Premium Decay),16.1
NIFTY,PE_SPREAD,2026-07-17 11:06:00,2026-07-20 14:03:00,1,33.9,Target Hit (50% Premium Decay),17.25
NIFTY,PE_SPREAD,2026-07-17 11:36:00,2026-07-20 15:27:00,1,32.8,Target Hit (50% Premium Decay),16.9
NIFTY,PE_SPREAD,2026-07-17 11:39:00,2026-07-21 09:15:00,1,31.65,Target Hit (50% Premium Decay),18.25
NIFTY,PE_SPREAD,2026-07-17 11:42:00,2026-07-21 09:15:00,1,31.65,Target Hit (50% Premium Decay),18.25
NIFTY,PE_SPREAD,2026-07-17 12:06:00,2026-07-21 09:15:00,1,31.6,Target Hit (50% Premium Decay),18.2
NIFTY,PE_SPREAD,2026-07-17 12:12:00,2026-07-21 09:15:00,1,30.95,Target Hit (50% Premium Decay),17.55
NIFTY,PE_SPREAD,2026-07-17 12:15:00,2026-07-21 15:00:00,1,37.35,Target Hit (50% Premium Decay),26.0
NIFTY,PE_SPREAD,2026-07-17 12:18:00,2026-07-21 09:15:00,1,30.75,Target Hit (50% Premium Decay),17.35
NIFTY,PE_SPREAD,2026-07-17 12:21:00,2026-07-20 12:45:00,1,36.5,SL Hit (50% Premium Appreciation),-19.3
