Symbol,Contract,Type,Entry Time,Exit Time,Duration,Bars in Trade,Strike Pair,Lot Size,Net Credit (₹),Capital Employed (₹),Exit Reason,PnL (₹),PnL (%)
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-01 11:30:00,2026-07-02 14:21:00,1 days 02:51:00,182,24000.0 / 23900.0,65,40.75,6500.0,Target Hit (50% Premium Decay),1404.0,21.6
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-01 11:45:00,2026-07-02 14:21:00,1 days 02:36:00,177,24000.0 / 23900.0,65,39.75,6500.0,Target Hit (50% Premium Decay),1339.0,20.6
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-01 12:00:00,2026-07-02 14:39:00,1 days 02:39:00,178,24050.0 / 23950.0,65,43.7,6500.0,Target Hit (50% Premium Decay),1498.25,23.05
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-02 10:21:00,2026-07-03 09:15:00,0 days 22:54:00,103,24100.0 / 24000.0,65,40.15,6500.0,Target Hit (50% Premium Decay),1686.75,25.95
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-02 10:39:00,2026-07-03 09:15:00,0 days 22:36:00,97,24100.0 / 24000.0,65,39.0,6500.0,Target Hit (50% Premium Decay),1612.0,24.8
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-02 11:00:00,2026-07-03 09:15:00,0 days 22:15:00,90,24100.0 / 24000.0,65,39.9,6500.0,Target Hit (50% Premium Decay),1670.5,25.7
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-03 10:09:00,2026-07-06 10:12:00,3 days 00:03:00,126,24350.0 / 24250.0,65,39.8,6500.0,Time Stop (Max 3 Days Hit),523.25,8.05
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-03 10:24:00,2026-07-06 10:27:00,3 days 00:03:00,126,24350.0 / 24250.0,65,38.7,6500.0,Time Stop (Max 3 Days Hit),838.5,12.9
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-03 11:54:00,2026-07-06 11:57:00,3 days 00:03:00,126,24350.0 / 24250.0,65,37.15,6500.0,Time Stop (Max 3 Days Hit),919.75,14.15
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-06 09:18:00,2026-07-06 12:12:00,0 days 02:54:00,58,24350.0 / 24250.0,65,40.9,6500.0,Target Hit (50% Premium Decay),1352.0,20.8
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-06 10:18:00,2026-07-06 15:27:00,0 days 05:09:00,103,24400.0 / 24300.0,65,38.9,6500.0,Monday Pre-Expiry Auto Square-Off,724.75,11.15
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-06 10:21:00,2026-07-06 15:27:00,0 days 05:06:00,102,24400.0 / 24300.0,65,37.25,6500.0,Monday Pre-Expiry Auto Square-Off,617.5,9.5
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-07 09:18:00,2026-07-08 13:45:00,1 days 04:27:00,214,24450.0 / 24350.0,65,38.2,6500.0,SL Hit (100% Premium Appreciation),-2515.5,-38.7
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-07 09:30:00,2026-07-08 14:06:00,1 days 04:36:00,217,24450.0 / 24350.0,65,41.8,6500.0,SL Hit (100% Premium Appreciation),-2720.25,-41.85
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-07 09:36:00,2026-07-08 13:57:00,1 days 04:21:00,212,24450.0 / 24350.0,65,41.15,6500.0,SL Hit (100% Premium Appreciation),-2710.5,-41.7
NIFTY,NIFTY SPOT,CE_SPREAD,2026-07-08 10:15:00,2026-07-08 14:27:00,0 days 04:12:00,84,24250.0 / 24350.0,65,40.6,6500.0,Target Hit (50% Premium Decay),1368.25,21.05
NIFTY,NIFTY SPOT,CE_SPREAD,2026-07-08 10:45:00,2026-07-08 14:03:00,0 days 03:18:00,66,24300.0 / 24400.0,65,39.2,6500.0,Target Hit (50% Premium Decay),1348.75,20.75
NIFTY,NIFTY SPOT,CE_SPREAD,2026-07-08 11:33:00,2026-07-08 14:03:00,0 days 02:30:00,50,24300.0 / 24400.0,65,38.1,6500.0,Target Hit (50% Premium Decay),1277.25,19.65
NIFTY,NIFTY SPOT,CE_SPREAD,2026-07-09 12:36:00,2026-07-13 09:15:00,3 days 20:39:00,183,24050.0 / 24150.0,65,46.7,6500.0,Time Stop (Max 3 Days Hit),591.5,9.1
NIFTY,NIFTY SPOT,CE_SPREAD,2026-07-09 13:24:00,2026-07-13 09:15:00,3 days 19:51:00,167,24050.0 / 24150.0,65,45.4,6500.0,Time Stop (Max 3 Days Hit),507.0,7.8
NIFTY,NIFTY SPOT,CE_SPREAD,2026-07-09 14:39:00,2026-07-13 09:15:00,3 days 18:36:00,142,24050.0 / 24150.0,65,44.0,6500.0,Time Stop (Max 3 Days Hit),416.0,6.4
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-10 10:27:00,2026-07-13 10:30:00,3 days 00:03:00,126,24200.0 / 24100.0,65,41.1,6500.0,Time Stop (Max 3 Days Hit),-708.5,-10.9
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-10 10:42:00,2026-07-13 10:45:00,3 days 00:03:00,126,24200.0 / 24100.0,65,39.15,6500.0,Time Stop (Max 3 Days Hit),-942.5,-14.5
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-10 11:48:00,2026-07-13 11:51:00,3 days 00:03:00,126,24200.0 / 24100.0,65,43.9,6500.0,Time Stop (Max 3 Days Hit),-520.0,-8.0
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-13 13:33:00,2026-07-13 15:27:00,0 days 01:54:00,38,24200.0 / 24100.0,65,39.4,6500.0,Monday Pre-Expiry Auto Square-Off,624.0,9.6
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-13 14:00:00,2026-07-13 15:27:00,0 days 01:27:00,29,24200.0 / 24100.0,65,40.0,6500.0,Monday Pre-Expiry Auto Square-Off,663.0,10.2
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-13 14:06:00,2026-07-13 15:27:00,0 days 01:21:00,27,24200.0 / 24100.0,65,40.15,6500.0,Monday Pre-Expiry Auto Square-Off,672.75,10.35
NIFTY,NIFTY SPOT,CE_SPREAD,2026-07-14 10:15:00,2026-07-17 10:18:00,3 days 00:03:00,376,24100.0 / 24200.0,65,43.6,6500.0,Time Stop (Max 3 Days Hit),-1303.25,-20.05
NIFTY,NIFTY SPOT,CE_SPREAD,2026-07-14 10:18:00,2026-07-17 10:21:00,3 days 00:03:00,376,24050.0 / 24150.0,65,47.75,6500.0,Time Stop (Max 3 Days Hit),-1309.75,-20.15
NIFTY,NIFTY SPOT,CE_SPREAD,2026-07-14 10:39:00,2026-07-17 10:42:00,3 days 00:03:00,376,24100.0 / 24200.0,65,45.1,6500.0,Time Stop (Max 3 Days Hit),-1166.75,-17.95
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-15 10:09:00,2026-07-20 09:15:00,4 days 23:06:00,357,24200.0 / 24100.0,65,43.8,6500.0,Time Stop (Max 3 Days Hit),308.75,4.75
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-15 10:15:00,2026-07-20 09:15:00,4 days 23:00:00,355,24200.0 / 24100.0,65,41.1,6500.0,Time Stop (Max 3 Days Hit),133.25,2.05
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-15 10:42:00,2026-07-20 09:15:00,4 days 22:33:00,346,24200.0 / 24100.0,65,42.25,6500.0,Time Stop (Max 3 Days Hit),208.0,3.2
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-16 10:42:00,2026-07-17 15:27:00,1 days 04:45:00,220,24100.0 / 24000.0,65,36.2,6500.0,Target Hit (50% Premium Decay),1287.0,19.8
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-16 10:48:00,2026-07-20 09:15:00,3 days 22:27:00,219,24150.0 / 24050.0,65,37.85,6500.0,Time Stop (Max 3 Days Hit),403.0,6.2
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-16 11:33:00,2026-07-20 09:15:00,3 days 21:42:00,204,24150.0 / 24050.0,65,38.55,6500.0,Time Stop (Max 3 Days Hit),448.5,6.9
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-17 11:06:00,2026-07-20 11:09:00,3 days 00:03:00,126,24250.0 / 24150.0,65,45.7,6500.0,Time Stop (Max 3 Days Hit),-253.5,-3.9
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-17 11:36:00,2026-07-20 11:39:00,3 days 00:03:00,126,24250.0 / 24150.0,65,45.05,6500.0,Time Stop (Max 3 Days Hit),-487.5,-7.5
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-17 11:42:00,2026-07-20 11:45:00,3 days 00:03:00,126,24250.0 / 24150.0,65,43.0,6500.0,Time Stop (Max 3 Days Hit),-832.0,-12.8
NIFTY,NIFTY SPOT,CE_SPREAD,2026-07-20 12:21:00,2026-07-20 15:27:00,0 days 03:06:00,62,24200.0 / 24300.0,65,33.4,6500.0,Monday Pre-Expiry Auto Square-Off,-1397.5,-21.5
NIFTY,NIFTY SPOT,CE_SPREAD,2026-07-20 12:24:00,2026-07-20 15:27:00,0 days 03:03:00,61,24200.0 / 24300.0,65,32.35,6500.0,Monday Pre-Expiry Auto Square-Off,-1465.75,-22.55
NIFTY,NIFTY SPOT,CE_SPREAD,2026-07-20 12:36:00,2026-07-20 15:27:00,0 days 02:51:00,57,24150.0 / 24250.0,65,40.45,6500.0,Monday Pre-Expiry Auto Square-Off,-1599.0,-24.6
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-21 09:18:00,2026-07-23 09:15:00,1 days 23:57:00,249,24250.0 / 24150.0,65,41.35,6500.0,SL Hit (100% Premium Appreciation),-2733.25,-42.05
NIFTY,NIFTY SPOT,PE_SPREAD,2026-07-21 09:21:00,2026-07-23 12:39:00,2 days 03:18:00,316,24250.0 / 24150.0,65,42.65,6500.0,SL Hit (100% Premium Appreciation),-2944.5,-45.3
