Symbol,Contract,Type,Entry Time,Exit Time,Duration,Bars in Trade,Strike Pair,Lot Size,Net Credit (₹),Capital Employed (₹),Exit Reason,PnL (₹),PnL (%)
NIFTY,NIFTY SPOT,CE_SPREAD,2025-08-22 09:18:00,2025-08-25 09:21:00,3 days 00:03:00,126,25050.0 / 25150.0,75,40.3,7500.0,Time Stop (Max 3 Days Hit),1218.75,16.25
NIFTY,NIFTY SPOT,CE_SPREAD,2025-08-22 09:57:00,2025-08-25 10:00:00,3 days 00:03:00,126,24950.0 / 25050.0,75,48.1,7500.0,Time Stop (Max 3 Days Hit),660.0,8.8
NIFTY,NIFTY SPOT,CE_SPREAD,2025-08-22 10:12:00,2025-08-25 10:15:00,3 days 00:03:00,126,24950.0 / 25050.0,75,48.2,7500.0,Time Stop (Max 3 Days Hit),915.0,12.2
NIFTY,NIFTY SPOT,PE_SPREAD,2025-08-25 13:48:00,2025-08-25 15:27:00,0 days 01:39:00,33,25000.0 / 24900.0,75,32.45,7500.0,Monday Pre-Expiry Auto Square-Off,-371.25,-4.95
NIFTY,NIFTY SPOT,CE_SPREAD,2025-08-26 10:00:00,2025-08-26 15:09:00,0 days 05:09:00,103,24800.0 / 24900.0,75,35.75,7500.0,Target Hit (50% Premium Decay),1417.5,18.9
NIFTY,NIFTY SPOT,CE_SPREAD,2025-08-26 10:03:00,2025-08-26 15:09:00,0 days 05:06:00,102,24800.0 / 24900.0,75,36.25,7500.0,Target Hit (50% Premium Decay),1455.0,19.4
NIFTY,NIFTY SPOT,CE_SPREAD,2025-08-26 10:06:00,2025-08-26 15:03:00,0 days 04:57:00,99,24800.0 / 24900.0,75,39.0,7500.0,Target Hit (50% Premium Decay),1541.25,20.55
NIFTY,NIFTY SPOT,CE_SPREAD,2025-08-26 15:03:00,2025-08-28 09:15:00,1 days 18:12:00,9,24750.0 / 24850.0,75,28.05,7500.0,Target Hit (50% Premium Decay),1620.0,21.6
NIFTY,NIFTY SPOT,CE_SPREAD,2025-08-28 09:15:00,2025-08-29 10:03:00,1 days 00:48:00,141,24700.0 / 24800.0,75,32.4,7500.0,Target Hit (50% Premium Decay),1241.25,16.55
NIFTY,NIFTY SPOT,CE_SPREAD,2025-08-28 09:18:00,2025-08-29 14:36:00,1 days 05:18:00,231,24600.0 / 24700.0,75,46.75,7500.0,Target Hit (50% Premium Decay),1871.25,24.95
NIFTY,NIFTY SPOT,CE_SPREAD,2025-08-28 09:42:00,2025-08-29 15:06:00,1 days 05:24:00,233,24550.0 / 24650.0,75,53.5,7500.0,Target Hit (50% Premium Decay),2160.0,28.8
NIFTY,NIFTY SPOT,CE_SPREAD,2025-08-29 13:33:00,2025-09-01 13:06:00,2 days 23:33:00,116,24500.0 / 24600.0,75,49.3,7500.0,SL Hit (40% Premium Appreciation),-1511.25,-20.15
NIFTY,NIFTY SPOT,CE_SPREAD,2025-08-29 15:03:00,2025-09-01 09:33:00,2 days 18:30:00,15,24450.0 / 24550.0,75,47.7,7500.0,SL Hit (40% Premium Appreciation),-1556.25,-20.75
NIFTY,NIFTY SPOT,CE_SPREAD,2025-09-01 09:15:00,2025-09-01 15:27:00,0 days 06:12:00,124,24450.0 / 24550.0,75,64.45,7500.0,Monday Pre-Expiry Auto Square-Off,-1803.75,-24.05
NIFTY,NIFTY SPOT,PE_SPREAD,2025-09-01 14:24:00,2025-09-01 15:27:00,0 days 01:03:00,21,24600.0 / 24500.0,75,25.95,7500.0,Monday Pre-Expiry Auto Square-Off,513.75,6.85
NIFTY,NIFTY SPOT,PE_SPREAD,2025-09-01 14:27:00,2025-09-01 15:27:00,0 days 01:00:00,20,24600.0 / 24500.0,75,27.3,7500.0,Monday Pre-Expiry Auto Square-Off,615.0,8.2
NIFTY,NIFTY SPOT,PE_SPREAD,2025-09-01 15:27:00,2025-09-02 09:30:00,0 days 18:03:00,6,24600.0 / 24500.0,75,19.1,7500.0,Target Hit (50% Premium Decay),720.0,9.6
NIFTY,NIFTY SPOT,PE_SPREAD,2025-09-02 09:15:00,2025-09-02 14:06:00,0 days 04:51:00,97,24650.0 / 24550.0,75,34.0,7500.0,SL Hit (40% Premium Appreciation),-1072.5,-14.3
NIFTY,NIFTY SPOT,PE_SPREAD,2025-09-02 09:24:00,2025-09-03 09:21:00,0 days 23:57:00,124,24650.0 / 24550.0,75,36.8,7500.0,SL Hit (40% Premium Appreciation),-1121.25,-14.95
NIFTY,NIFTY SPOT,PE_SPREAD,2025-09-02 09:30:00,2025-09-02 14:03:00,0 days 04:33:00,91,24650.0 / 24550.0,75,33.2,7500.0,SL Hit (40% Premium Appreciation),-1016.25,-13.55
NIFTY,NIFTY SPOT,CE_SPREAD,2025-09-02 14:21:00,2025-09-04 09:15:00,1 days 18:54:00,148,24600.0 / 24700.0,75,48.5,7500.0,SL Hit (40% Premium Appreciation),-2430.0,-32.4
NIFTY,NIFTY SPOT,CE_SPREAD,2025-09-02 14:24:00,2025-09-03 15:06:00,1 days 00:42:00,139,24600.0 / 24700.0,75,44.7,7500.0,SL Hit (40% Premium Appreciation),-1350.0,-18.0
NIFTY,NIFTY SPOT,CE_SPREAD,2025-09-03 09:27:00,2025-09-04 09:15:00,0 days 23:48:00,121,24600.0 / 24700.0,75,48.55,7500.0,SL Hit (40% Premium Appreciation),-2426.25,-32.35
NIFTY,NIFTY SPOT,PE_SPREAD,2025-09-03 15:27:00,2025-09-04 09:18:00,0 days 17:51:00,2,24700.0 / 24600.0,75,34.8,7500.0,Target Hit (50% Premium Decay),1316.25,17.55
NIFTY,NIFTY SPOT,PE_SPREAD,2025-09-04 09:15:00,2025-09-04 15:09:00,0 days 05:54:00,118,25000.0 / 24900.0,75,58.55,7500.0,SL Hit (40% Premium Appreciation),-1758.75,-23.45
NIFTY,NIFTY SPOT,PE_SPREAD,2025-09-04 09:48:00,2025-09-04 10:39:00,0 days 00:51:00,17,24900.0 / 24800.0,75,33.95,7500.0,SL Hit (40% Premium Appreciation),-1290.0,-17.2
NIFTY,NIFTY SPOT,PE_SPREAD,2025-09-04 10:03:00,2025-09-04 10:39:00,0 days 00:36:00,12,24900.0 / 24800.0,75,36.0,7500.0,SL Hit (40% Premium Appreciation),-1136.25,-15.15
NIFTY,NIFTY SPOT,CE_SPREAD,2025-09-05 10:03:00,2025-09-05 12:12:00,0 days 02:09:00,43,24800.0 / 24900.0,75,38.4,7500.0,Target Hit (50% Premium Decay),1443.75,19.25
NIFTY,NIFTY SPOT,CE_SPREAD,2025-09-05 10:06:00,2025-09-05 12:33:00,0 days 02:27:00,49,24750.0 / 24850.0,75,46.75,7500.0,Target Hit (50% Premium Decay),1848.75,24.65
NIFTY,NIFTY SPOT,CE_SPREAD,2025-09-05 10:30:00,2025-09-05 13:57:00,0 days 03:27:00,69,24700.0 / 24800.0,75,42.6,7500.0,SL Hit (40% Premium Appreciation),-1470.0,-19.6
NIFTY,NIFTY SPOT,CE_SPREAD,2025-09-05 12:12:00,2025-09-05 13:45:00,0 days 01:33:00,31,24650.0 / 24750.0,75,44.7,7500.0,SL Hit (40% Premium Appreciation),-1788.75,-23.85
NIFTY,NIFTY SPOT,CE_SPREAD,2025-09-05 12:33:00,2025-09-05 13:42:00,0 days 01:09:00,23,24650.0 / 24750.0,75,39.8,7500.0,SL Hit (40% Premium Appreciation),-1312.5,-17.5
NIFTY,NIFTY SPOT,PE_SPREAD,2025-09-05 14:18:00,2025-09-08 09:39:00,2 days 19:21:00,32,24750.0 / 24650.0,75,32.55,7500.0,Target Hit (50% Premium Decay),1275.0,17.0
NIFTY,NIFTY SPOT,PE_SPREAD,2025-09-05 14:27:00,2025-09-08 09:39:00,2 days 19:12:00,29,24750.0 / 24650.0,75,32.35,7500.0,Target Hit (50% Premium Decay),1260.0,16.8
NIFTY,NIFTY SPOT,PE_SPREAD,2025-09-05 14:30:00,2025-09-08 09:39:00,2 days 19:09:00,28,24750.0 / 24650.0,75,33.1,7500.0,Target Hit (50% Premium Decay),1316.25,17.55
