Symbol,Signal,Type,Entry Time,Exit Time,Bars in Trade,Strike Pair,Lot Size,Net Credit (₹),Capital Employed (₹),Exit Reason,PnL (₹),PnL (%)
NIFTY,Regular Bull (LL/HL),PE_SPREAD,2026-07-21 12:00:00,2026-08-14 15:39:00,2360,24250.0 / 24150.0,65,60.3,6500.0,Data Ended,-117.0,-1.8
NIFTY,Regular Bull (LL/HL),PE_SPREAD,2026-07-22 10:40:00,2026-08-14 15:39:00,2261,24100.0 / 24000.0,65,55.7,6500.0,Data Ended,-2876.25,-44.25
NIFTY,Regular Bull (LL/HL),PE_SPREAD,2026-07-22 12:55:00,2026-08-14 15:39:00,2216,24100.0 / 24000.0,65,54.65,6500.0,Data Ended,-2944.5,-45.3
NIFTY,Hidden Bull (HL/LL),PE_SPREAD,2026-07-22 13:25:00,2026-08-14 15:39:00,2206,24050.0 / 23950.0,65,53.05,6500.0,Data Ended,-728.0,-11.2
NIFTY,Regular Bull (LL/HL),PE_SPREAD,2026-07-23 12:05:00,2026-07-27 15:27:00,317,24000.0 / 23900.0,65,50.45,6500.0,Target Hit (50% Premium Decay),1690.0,26.0
NIFTY,Regular Bull (LL/HL),PE_SPREAD,2026-07-23 13:30:00,2026-07-27 09:36:00,172,23900.0 / 23800.0,65,52.8,6500.0,Target Hit (50% Premium Decay),1794.0,27.6
NIFTY,Regular Bull (LL/HL),PE_SPREAD,2026-07-23 15:05:00,2026-07-27 11:24:00,176,23900.0 / 23800.0,65,46.7,6500.0,Target Hit (50% Premium Decay),1651.0,25.4
NIFTY,Regular Bear (HH/LH),CE_SPREAD,2026-07-27 13:30:00,2026-07-28 12:57:00,114,24050.0 / 24150.0,65,17.45,6500.0,Target Hit (50% Premium Decay),598.0,9.2
NIFTY,Regular Bull (LL/HL),PE_SPREAD,2026-07-28 15:15:00,2026-08-14 15:39:00,1670,24100.0 / 24000.0,65,100.15,6500.0,Data Ended,13.0,0.2
NIFTY,Regular Bear (HH/LH),CE_SPREAD,2026-07-29 09:55:00,2026-08-03 09:15:00,361,24300.0 / 24400.0,65,36.75,6500.0,SL Hit (100% Premium Appreciation),-3389.1,-52.14
NIFTY,Regular Bear (HH/LH),CE_SPREAD,2026-07-29 10:20:00,2026-08-03 09:15:00,353,24300.0 / 24400.0,65,38.6,6500.0,SL Hit (100% Premium Appreciation),-3268.85,-50.29
NIFTY,Regular Bear (HH/LH),CE_SPREAD,2026-07-29 10:40:00,2026-08-03 09:15:00,346,24300.0 / 24400.0,65,38.45,6500.0,SL Hit (100% Premium Appreciation),-3278.6,-50.44
NIFTY,Regular Bear (HH/LH),CE_SPREAD,2026-07-29 11:20:00,2026-08-03 09:15:00,333,24300.0 / 24400.0,65,38.1,6500.0,SL Hit (100% Premium Appreciation),-3301.35,-50.79
NIFTY,Regular Bear (HH/LH),CE_SPREAD,2026-07-29 12:00:00,2026-08-03 09:15:00,320,24300.0 / 24400.0,65,38.4,6500.0,SL Hit (100% Premium Appreciation),-3281.85,-50.49
NIFTY,Regular Bear (HH/LH),CE_SPREAD,2026-07-29 14:45:00,2026-08-03 09:15:00,265,24300.0 / 24400.0,65,40.8,6500.0,SL Hit (100% Premium Appreciation),-3125.85,-48.09
NIFTY,Regular Bear (HH/LH),CE_SPREAD,2026-07-31 13:20:00,2026-08-03 09:54:00,56,24500.0 / 24600.0,65,28.55,6500.0,SL Hit (100% Premium Appreciation),-1956.5,-30.1
NIFTY,Regular Bear (HH/LH),CE_SPREAD,2026-07-31 13:40:00,2026-08-03 09:30:00,41,24450.0 / 24550.0,65,33.85,6500.0,SL Hit (100% Premium Appreciation),-2219.1,-34.14
NIFTY,Regular Bear (HH/LH),CE_SPREAD,2026-08-03 10:40:00,2026-08-04 10:54:00,133,24650.0 / 24750.0,65,22.35,6500.0,Target Hit (50% Premium Decay),822.25,12.65
NIFTY,Regular Bear (HH/LH),CE_SPREAD,2026-08-03 11:20:00,2026-08-04 10:54:00,120,24650.0 / 24750.0,65,24.15,6500.0,Target Hit (50% Premium Decay),939.25,14.45
NIFTY,Regular Bull (LL/HL),PE_SPREAD,2026-08-04 12:55:00,2026-08-04 15:24:00,49,24550.0 / 24450.0,65,51.75,6500.0,Target Hit (50% Premium Decay),1813.5,27.9
NIFTY,Regular Bull (LL/HL),PE_SPREAD,2026-08-04 14:10:00,2026-08-04 15:24:00,24,24500.0 / 24400.0,65,43.7,6500.0,Target Hit (50% Premium Decay),2118.35,32.59
NIFTY,Regular Bear (HH/LH),CE_SPREAD,2026-08-06 11:45:00,2026-08-10 09:33:00,214,24700.0 / 24800.0,65,40.75,6500.0,Target Hit (50% Premium Decay),1371.5,21.1
NIFTY,Regular Bull (LL/HL),PE_SPREAD,2026-08-07 10:45:00,2026-08-11 15:21:00,350,24650.0 / 24550.0,65,50.15,6500.0,SL Hit (100% Premium Appreciation),-3285.75,-50.55
NIFTY,Hidden Bull (HL/LL),PE_SPREAD,2026-08-11 11:00:00,2026-08-14 15:39:00,481,24550.0 / 24450.0,65,58.65,6500.0,Data Ended,-1264.25,-19.45
NIFTY,Regular Bull (LL/HL),PE_SPREAD,2026-08-11 12:30:00,2026-08-14 15:39:00,451,24500.0 / 24400.0,65,48.2,6500.0,Data Ended,1300.0,20.0
SENSEX,Regular Bear (HH/LH),CE_SPREAD,2026-07-21 09:35:00,2026-07-22 09:15:00,118,78100.0 / 78300.0,20,51.1,4000.0,Target Hit (50% Premium Decay),755.0,18.88
SENSEX,Regular Bull (LL/HL),PE_SPREAD,2026-07-22 10:40:00,2026-08-14 15:39:00,2256,77300.0 / 77100.0,20,147.85,4000.0,Data Ended,-1105.0,-27.63
SENSEX,Regular Bull (LL/HL),PE_SPREAD,2026-07-22 12:55:00,2026-08-14 15:39:00,2211,77200.0 / 77000.0,20,141.0,4000.0,Data Ended,-1132.0,-28.3
SENSEX,Regular Bull (LL/HL),PE_SPREAD,2026-07-23 13:30:00,2026-08-14 15:39:00,2075,76600.0 / 76400.0,20,177.95,4000.0,Data Ended,-451.0,-11.28
SENSEX,Regular Bull (LL/HL),PE_SPREAD,2026-07-24 10:35:00,2026-07-27 09:15:00,98,76000.0 / 75800.0,20,109.25,4000.0,Target Hit (50% Premium Decay),1349.0,33.72
SENSEX,Regular Bear (HH/LH),CE_SPREAD,2026-07-24 13:05:00,2026-07-29 09:15:00,298,76500.0 / 76700.0,20,76.6,4000.0,SL Hit (100% Premium Appreciation),-2168.0,-54.2
SENSEX,Regular Bear (HH/LH),CE_SPREAD,2026-07-24 14:20:00,2026-07-29 09:15:00,273,76600.0 / 76800.0,20,72.45,4000.0,SL Hit (100% Premium Appreciation),-1984.0,-49.6
SENSEX,Hidden Bear (LH/HH),CE_SPREAD,2026-07-27 09:55:00,2026-07-29 09:15:00,236,77000.0 / 77200.0,20,69.1,4000.0,SL Hit (100% Premium Appreciation),-1679.0,-41.97
SENSEX,Hidden Bear (LH/HH),CE_SPREAD,2026-07-28 11:10:00,2026-07-29 09:15:00,86,77300.0 / 77500.0,20,56.2,4000.0,SL Hit (100% Premium Appreciation),-1277.0,-31.93
SENSEX,Regular Bear (HH/LH),CE_SPREAD,2026-07-28 11:25:00,2026-07-29 09:15:00,81,77300.0 / 77500.0,20,54.55,4000.0,SL Hit (100% Premium Appreciation),-1310.0,-32.75
SENSEX,Regular Bear (HH/LH),CE_SPREAD,2026-07-28 12:40:00,2026-07-29 09:15:00,56,77400.0 / 77600.0,20,51.45,4000.0,SL Hit (100% Premium Appreciation),-1126.0,-28.15
SENSEX,Hidden Bull (HL/LL),PE_SPREAD,2026-07-30 09:55:00,2026-07-30 15:06:00,103,77900.0 / 77700.0,20,136.65,4000.0,Target Hit (50% Premium Decay),1720.0,43.0
