Symbol,Type,Entry Time,Exit Time,Duration,Bars in Trade,Strike Pair,Lot Size,Net Credit (₹),Capital Employed (₹),Exit Reason,PnL (₹),PnL (%)
NIFTY,CE_SPREAD,2026-07-20 11:03:00,2026-07-21 09:54:00,0 days 22:51:00,102,24300.0 / 24400.0,1,22.6,100.0,Target Hit (50% Premium Decay),11.55,11.55
NIFTY,CE_SPREAD,2026-07-20 11:36:00,2026-07-21 10:00:00,0 days 22:24:00,93,24300.0 / 24400.0,1,21.5,100.0,Target Hit (50% Premium Decay),11.1,11.1
NIFTY,CE_SPREAD,2026-07-20 11:42:00,2026-07-21 10:12:00,0 days 22:30:00,95,24300.0 / 24400.0,1,19.25,100.0,Target Hit (50% Premium Decay),10.75,10.75
NIFTY,CE_SPREAD,2026-07-20 11:48:00,2026-07-21 10:36:00,0 days 22:48:00,101,24250.0 / 24350.0,1,26.2,100.0,Target Hit (50% Premium Decay),15.15,15.15
NIFTY,PE_SPREAD,2026-07-20 13:57:00,2026-08-14 15:39:00,25 days 01:42:00,2445,24350.0 / 24250.0,1,56.9,100.0,Data Ended,-43.25,-43.25
NIFTY,PE_SPREAD,2026-07-20 14:24:00,2026-08-14 15:39:00,25 days 01:15:00,2436,24350.0 / 24250.0,1,58.5,100.0,Data Ended,-41.65,-41.65
NIFTY,PE_SPREAD,2026-07-20 14:30:00,2026-08-14 15:39:00,25 days 01:09:00,2434,24350.0 / 24250.0,1,59.7,100.0,Data Ended,-40.45,-40.45
NIFTY,PE_SPREAD,2026-07-20 14:36:00,2026-08-14 15:39:00,25 days 01:03:00,2432,24350.0 / 24250.0,1,62.0,100.0,Data Ended,-38.15,-38.15
NIFTY,PE_SPREAD,2026-07-20 14:39:00,2026-08-14 15:39:00,25 days 01:00:00,2431,24350.0 / 24250.0,1,62.05,100.0,Data Ended,-38.1,-38.1
NIFTY,PE_SPREAD,2026-07-20 14:48:00,2026-08-14 15:39:00,25 days 00:51:00,2428,24350.0 / 24250.0,1,61.65,100.0,Data Ended,-38.5,-38.5
NIFTY,PE_SPREAD,2026-07-20 14:54:00,2026-08-14 15:39:00,25 days 00:45:00,2426,24350.0 / 24250.0,1,61.0,100.0,Data Ended,-39.15,-39.15
NIFTY,PE_SPREAD,2026-07-20 15:09:00,2026-08-14 15:39:00,25 days 00:30:00,2421,24350.0 / 24250.0,1,60.95,100.0,Data Ended,-39.2,-39.2
NIFTY,PE_SPREAD,2026-07-20 15:24:00,2026-08-14 15:39:00,25 days 00:15:00,2416,24350.0 / 24250.0,1,56.4,100.0,Data Ended,-43.75,-43.75
NIFTY,PE_SPREAD,2026-07-20 15:27:00,2026-08-14 15:39:00,25 days 00:12:00,2415,24350.0 / 24250.0,1,56.55,100.0,Data Ended,-43.6,-43.6
NIFTY,PE_SPREAD,2026-07-21 09:15:00,2026-08-14 15:39:00,24 days 06:24:00,2414,24350.0 / 24250.0,1,69.25,100.0,Data Ended,-30.9,-30.9
NIFTY,PE_SPREAD,2026-07-21 09:18:00,2026-08-14 15:39:00,24 days 06:21:00,2413,24350.0 / 24250.0,1,66.6,100.0,Data Ended,-33.55,-33.55
NIFTY,PE_SPREAD,2026-07-21 09:39:00,2026-08-14 15:39:00,24 days 06:00:00,2406,24300.0 / 24200.0,1,57.65,100.0,Data Ended,-42.1,-42.1
NIFTY,CE_SPREAD,2026-07-22 09:18:00,2026-07-23 09:15:00,0 days 23:57:00,124,24150.0 / 24250.0,1,39.2,100.0,Target Hit (50% Premium Decay),20.85,20.85
NIFTY,CE_SPREAD,2026-07-22 10:18:00,2026-07-23 12:39:00,1 days 02:21:00,172,24100.0 / 24200.0,1,36.55,100.0,Target Hit (50% Premium Decay),19.2,19.2
NIFTY,CE_SPREAD,2026-07-22 10:39:00,2026-07-23 12:42:00,1 days 02:03:00,166,24100.0 / 24200.0,1,34.4,100.0,Target Hit (50% Premium Decay),18.25,18.25
NIFTY,CE_SPREAD,2026-07-22 11:03:00,2026-07-23 12:39:00,1 days 01:36:00,157,24100.0 / 24200.0,1,35.95,100.0,Target Hit (50% Premium Decay),18.6,18.6
NIFTY,CE_SPREAD,2026-07-22 11:36:00,2026-07-23 12:30:00,1 days 00:54:00,143,24150.0 / 24250.0,1,32.8,100.0,Target Hit (50% Premium Decay),17.55,17.55
NIFTY,CE_SPREAD,2026-07-22 11:51:00,2026-07-23 12:39:00,1 days 00:48:00,141,24100.0 / 24200.0,1,37.15,100.0,Target Hit (50% Premium Decay),19.8,19.8
NIFTY,CE_SPREAD,2026-07-22 12:39:00,2026-07-24 09:15:00,1 days 20:36:00,182,24050.0 / 24150.0,1,35.9,100.0,Target Hit (50% Premium Decay),23.7,23.7
NIFTY,CE_SPREAD,2026-07-22 12:54:00,2026-07-23 12:39:00,0 days 23:45:00,120,24100.0 / 24200.0,1,34.95,100.0,Target Hit (50% Premium Decay),17.6,17.6
NIFTY,CE_SPREAD,2026-07-22 13:00:00,2026-07-23 12:42:00,0 days 23:42:00,119,24100.0 / 24200.0,1,33.3,100.0,Target Hit (50% Premium Decay),17.15,17.15
NIFTY,CE_SPREAD,2026-07-22 13:03:00,2026-07-23 14:48:00,1 days 01:45:00,160,24050.0 / 24150.0,1,36.95,100.0,Target Hit (50% Premium Decay),18.75,18.75
NIFTY,CE_SPREAD,2026-07-22 13:12:00,2026-07-23 14:48:00,1 days 01:36:00,157,24050.0 / 24150.0,1,36.8,100.0,Target Hit (50% Premium Decay),18.6,18.6
NIFTY,CE_SPREAD,2026-07-22 13:48:00,2026-07-23 14:48:00,1 days 01:00:00,145,24050.0 / 24150.0,1,37.1,100.0,Target Hit (50% Premium Decay),18.9,18.9
